Time,Channel A
(ms),(V)

-2.50006397,0.03727854
-2.50000797,0.03727854
-2.49995197,0.03727854
-2.49989597,0.01863927
-2.49983997,0.03727854
-2.49978397,0.01863927
-2.49972797,0.03727854
-2.49967197,0.03727854
-2.49961597,0.03727854
-2.49955997,0.03727854
-2.49950397,0.03727854
-2.49944797,0.03727854
-2.49939197,0.03727854
-2.49933597,0.03727854
-2.49927997,0.03727854
-2.49922397,0.03727854
-2.49916797,0.03727854
-2.49911197,0.03727854
-2.49905597,0.01863927
-2.49899997,0.03727854
-2.49894397,0.03727854
-2.49888797,0.05591781
-2.49883197,0.05591781
-2.49877597,0.05591781
-2.49871997,0.05591781
-2.49866397,0.05591781
-2.49860797,0.05591781
-2.49855197,0.03727854
-2.49849597,0.03727854
-2.49843997,0.01863927
-2.49838397,0.03727854
-2.49832797,0.03727854
-2.49827197,0.03727854
-2.49821597,0.03727854
-2.49815997,0.03727854
-2.49810397,0.03727854
-2.49804797,0.03727854
-2.49799197,0.03727854
-2.49793597,0.05591781
-2.49787997,0.05591781
-2.49782397,0.05591781
-2.49776797,0.03727854
-2.49771197,0.03727854
-2.49765597,0.01863927
-2.49759997,0.01863927
-2.49754397,0.00000000
-2.49748797,0.00000000
-2.49743197,0.00000000
-2.49737597,0.00000000
-2.49731997,0.00000000
-2.49726397,0.01863927
-2.49720797,0.01863927
-2.49715197,0.01863927
-2.49709597,0.03727854
-2.49703997,0.03727854
-2.49698397,0.03727854
-2.49692797,0.05591781
-2.49687197,0.05591781
-2.49681597,0.05591781
-2.49675997,0.05591781
-2.49670397,0.05591781
-2.49664797,0.05591781
-2.49659197,0.03727854
-2.49653597,0.03727854
-2.49647997,0.01863927
-2.49642397,0.01863927
-2.49636797,0.01863927
-2.49631197,0.00000000
-2.49625597,0.00000000
-2.49619997,0.00000000
-2.49614397,0.01863927
-2.49608797,0.01863927
-2.49603197,0.03727854
-2.49597597,0.03727854
-2.49591997,0.03727854
-2.49586397,0.05591781
-2.49580797,0.05591781
-2.49575197,0.05591781
-2.49569597,0.05591781
-2.49563997,0.05591781
-2.49558397,0.05591781
-2.49552797,0.03727854
-2.49547197,0.01863927
-2.49541597,0.00000000
-2.49535997,0.00000000
-2.49530397,-0.01863927
-2.49524797,-0.01863927
-2.49519197,-0.01863927
-2.49513597,-0.01863927
-2.49507997,-0.01863927
-2.49502397,-0.01863927
-2.49496797,0.00000000
-2.49491197,0.00000000
-2.49485597,0.01863927
-2.49479997,0.03727854
-2.49474397,0.05591781
-2.49468797,0.05591781
-2.49463197,0.05591781
-2.49457597,0.07455709
-2.49451997,0.05591781
-2.49446397,0.05591781
-2.49440797,0.05591781
-2.49435197,0.03727854
-2.49429597,0.03727854
-2.49423997,0.03727854
-2.49418397,0.01863927
-2.49412797,0.01863927
-2.49407197,0.00000000
-2.49401597,0.00000000
-2.49395997,0.00000000
-2.49390397,0.00000000
-2.49384797,-0.01863927
-2.49379197,-0.01863927
-2.49373597,-0.01863927
-2.49367997,0.00000000
-2.49362397,0.00000000
-2.49356797,0.00000000
-2.49351197,0.00000000
